2|MEHARI_SitesSecurity|||||||
02A|"Physical access control to the site and the building
Here control of access to the whole of the site or the building is considered, or a certain number of floors, which represents the ""site"" in which are situated the sensitive locations"|||||||
02A01|Management of access rights to the site or building |||||||
02A01-01|"Are permanent or semi permanent (for a specific length of time) access rights to each site or building (or to a number of floors) based on typical profiles (staff on permanent or limited contracts, temporary staff, students, service providers etc.) and to functional roles in the organization?
Access rights should be granted to activity profiles and not to named individuals."|4|3|2|E1|||
02A01-02|Is there a list, kept up-to-date, of these profiles and the people responsible for granting access rights for each of them?|4|2|2|E2|||
02A01-03|Are the rights and the validity conditions attributed to profiles reviewed by the site or general security manager?|4|||E2|||
02A01-04|Do the profiles also allow definition of working time limits (daily hours and periods in the working calendar, weekends, holidays etc.)?|2|||E2|||
02A01-05|Are these rights and profiles as defined above protected against any possibility of alteration or falsification during their storage or when transferred between decision makers and the personnel in charge of implementing the rights?|1|3||R1|||
02A01-06|Is there a regular audit, at least once a year of all rights attributed to the various categories of personnel and a review of the pertinence of those access rights?|1|3||C1|||
02A02|Management of access authorizations granted to the site or the building|||||||
02A02-01|"Does the procedure of granting permanent or semi permanent access authorization require the formal acceptance of line management or of the unit managing the external contractor (at a sufficiently senior level)?
An access authorization is granted to a person, it may provide access rights based on the job profile he or she is linked to. It is usually materialized by a badge carried by the employee."|4|2||E1|||
02A02-02|"Is the procedure for granting (or modification or retraction) of access authorization documented and strictly controlled? 
A strict control requires a formal recognition of the signature (electronic or otherwise) of the requestor, that the implementation of the profile attributed to users is highly secure and that each operation is recorded (mentioning the date of issue of the badge and its length of validity) that there be a reinforced access control over the modification of such records and that any modification of records be logged and audited."|4|2||E2|||
02A02-03|Are access authorizations granted to named individuals as a function of their profile?|4|||E2|||
02A02-04|Are the access authorizations to the site materialized by a badge or a card? |2|||E2|||
02A02-05|Are these access authorization badges or cards personalized i.e. with the name and picture of the owner?|2|||E2|||
02A02-06|Can the list of valid access authorizations and corresponding profile be reviewed at any time?|2|||E2|||
02A02-07|Is there a rapid and systematic process for revoking access authorizations (revocation of the badge to the automatic access control equipments) and return of the corresponding badge or card at the time of departure of internal or external personnel, change of site attachment (when the authorization is site dependent) or at the end of mission?|4|2||E2|||
02A02-08|Is there a procedure enabling the subsequent detection of irregularities in the management of access authorizations (badge or card not returned, usage of a lost badge, false badge etc.)?|4|||C1|||
02A03|Access control to the site or the building|||||||
02A03-01|"Is the site completely enclosed by a perimeter fence which is difficult to cross or to scale?
For a building on the public highway to be considered secure, all windows on the ground floor must be locked shut and all access points must have been taken into consideration (garages or underground car parks, roof etc.)"|1|1||E1|11.1.1|9.1.1|
02A03-02|Is there an operational system (automatic or by security guard) for controlling pedestrian and vehicular access to the site?|1|1||E2|11.1.1|9.1.1|
02A03-03|"Does this system guarantee that all people entering are checked?
An efficient control assumes a double or revolving door, or a security guard who allows only one person to pass at a time (for pedestrians) and for vehicles entering the site, controls all people present in the vehicle."|4|2||E3|||
02A03-04|Does such a system, if dependent on a badge, guarantee that the same badge cannot be used by a second person (by, for example, memorizing all entries and not allowing a further entry without an intervening exit)?|4|||E3|||
02A03-05|In the case where presentation of a badge or card is required to gain access to a site, is there the possibility to immediately validate the authenticity and validity of the card or badge?|4|2||E2|||
