14|Information Security management|||||||
14A|Establish the management system|||||||
14A01|Define the boundaries of the ISMS |||||||
14A01-01|Are the boundaries and scope of the ISMS resulting from a preliminary study of the expectations of the top management and the stakeholders? |4||||||
14A01-02|"Do the boundaries contain the processes and assets of vital value for the organization? 
They should specify the sites, organizational units and business activities as well as external interfaces.  
Any exclusions from the scope must be documented and justified.  "|2||||||
14A02|Define the ISMS policy|||||||
14A02-01|Does the ISMS policy result from a preliminary study of the expectations of the stakeholders? |4||||||
14A02-02|Does this policy state clearly and precisely the commitments of the management relative to information security?|1||||||
14A02-03|Does this policy take into account the requirements of the organization towards criteria such as Availability, Integrity and non disclosure? |2||||||
14A02-04|Does this policy  take into account legal and regulatory requirements?|2||||||
14A02-05|Does this policy take into account the commitment to use precise evaluation of risks?|2||||||
14A02-06|Have clear risk reduction and management objectives been established?|4||||||
14A02-07|Has this policy been approved by the top management of the organization?|2|2|||||
14A02-08|Has the management of the organization reserved the necessary resources and funding over the long term? |1||||||
14A03|Define the risk assessment approach and associated metrics|||||||
14A03-01|Has a  risk assessment method that fits to the requirements of the organization been selected? |4||||||
14A03-02|Does the method permit to analyze the information security requirements for each asset in accordance to the business, laws and  regulations?|2|2|||||
14A03-03|Does the method permit to classify the feared dysfunctions on a scale applicable to the entire organization? |1||||||
14A03-04|"Does the method provide precise metrics allowing a rational and reproducible risk assessment?
The seriousness of each risk being classified within a previously defined scale."|1||||||
14A04|Identification of the risks|||||||
14A04-01|Does this risk analysis method used allow to identify the supporting assets attached to  each operational process and to each primary asset?|4||||||
14A04-02|Does the method permit to identify the threats and their consequences relative to the security objectives ( e.g. Availability, integrity, Confidentiality)?|4||||||
14A04-03|Does the method permit to identify, in a precise way, the vulnerabilities according to the security measures in place?|2||||||
14A04-04|Does the method permit to describe finely the scenarios that may exploit the threats and vulnerabilities? |2||||||
14A04-05|Does the method permit to identify the impacts on the activity for each scenario (through a precise criteria and asset)? |4||||||
14A04-06|Does the method permit to identify the links between each asset and the owners of data and processes?|2||||||
14A05|Analysis and evaluation of the risks|||||||
14A05-01|Does the risk analysis method permit to assess the levels of risk reduction resulting from the security measures in place or planned?|2||||||
14A05-02|Does the method provide the elements allowing to assess the likelihood of each risk scenario? |4||||||
14A05-03|Does the method permit to reduce the likelihood of the scenarios resulting from the current (and planned) security measures (or controls)? |2||||||
14A05-04|Is it possible to adapt the likelihood levels resulting from changes in the organization?|2||||||
14A05-05|Is the risk seriousness level clearly related to the impact and likelihood  values for each scenario ?|1||||||
14A05-06|"Does the method provide the elements allowing to classify the seriousness level for each risk scenario? 
His level should be used to determine whether each risk is acceptable or require further treatment"|4||||||
14A06|Selection of risk treatment options|||||||
14A06-01|"Does the method permit to figure out the risk treatment options appropriate for the organization ? 
Based on the possible options (Accept, Avoid, Transfer or Reduce lye risk) and the criteria of acceptance already established."|2||||||
14A06-02|Does the method permit to analyze the risk acceptance criteria for each scenario?|2||||||
14A07|Selection of the measures (controls) for risk reduction|||||||
